filename	acq_time	operator	randstr
func/sub-10478_task-trust_run-2_echo-1_part-phase_sbref.nii.gz	1923-03-20T15:04:34.260000	tubric	1c1e0491
func/sub-10478_task-trust_run-2_echo-2_part-mag_sbref.nii.gz	1923-03-20T15:04:34.260000	tubric	1c1e0491
func/sub-10478_task-trust_run-2_echo-2_part-phase_sbref.nii.gz	1923-03-20T15:04:34.260000	tubric	1c1e0491
func/sub-10478_task-trust_run-2_echo-3_part-mag_sbref.nii.gz	1923-03-20T15:04:34.260000	tubric	1c1e0491
func/sub-10478_task-trust_run-2_echo-3_part-phase_sbref.nii.gz	1923-03-20T15:04:34.260000	tubric	1c1e0491
func/sub-10478_task-trust_run-2_echo-4_part-mag_sbref.nii.gz	1923-03-20T15:04:34.260000	tubric	1c1e0491
func/sub-10478_task-trust_run-2_echo-4_part-phase_sbref.nii.gz	1923-03-20T15:04:34.260000	tubric	1c1e0491
func/sub-10478_task-trust_run-2_echo-1_bold.nii.gz	1923-03-20T15:04:39.145000	tubric	42541adf
func/sub-10478_task-trust_run-2_echo-2_bold.nii.gz	1923-03-20T15:04:39.145000	tubric	42541adf
func/sub-10478_task-trust_run-2_echo-3_bold.nii.gz	1923-03-20T15:04:39.145000	tubric	42541adf
func/sub-10478_task-trust_run-2_echo-4_bold.nii.gz	1923-03-20T15:04:39.145000	tubric	42541adf
anat/sub-10478_FLAIR.nii.gz	1923-03-20T15:13:04.492500	tubric	afbb17b6
dwi/sub-10478_dwi.nii.gz	1923-03-20T15:17:22.410000	tubric	b330414f
fmap/sub-10478_acq-dwi_dir-AP_epi.nii.gz	1923-03-20T15:24:39.415000	tubric	b374fa28
fmap/sub-10478_acq-dwi_dir-PA_epi.nii.gz	1923-03-20T15:25:25.395000	tubric	7384fd62
